GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,Współczynnik sukcesu,Przyznana kwota,Pracownicy naukowi,"Kwota/pracownicy naukowi"
NZ2B,A,"",Instytut Ochrony Przyrody PAN,19,2,11%,139 000 zł,"34,5",4 029 zł
NZ2B,B,"",Instytut Parazytologii im. Witolda Stefańskiego PAN,7,0,0%,0 zł,33,0 zł
NZ2R,A,"",Instytut Nauk Geologicznych PAN,8,5,63%,5 471 573 zł,"76,05",71 947 zł
NZ2R,B,"","Instytut Fizjologii i Żywienia Zwierząt im. Jana Kielanowskiego PAN",14,3,21%,2 050 368 zł,62,33 070 zł
NZ2R,A+,"",Instytut Rozrodu Zwierząt i Badań Żywności PAN,30,11,37%,3 971 930 zł,"136,6",29 077 zł
NZ2R,A,"",Instytut Dendrologii PAN,4,2,50%,1 122 560 zł,45,24 946 zł
NZ2R,B,"","Instytut Geografii i Przestrzennego Zagospodarowania im. S. Leszczyckiego PAN",20,5,25%,1 382 123 zł,"75,4",18 331 zł
NZ2R,A,"",Instytut Geofizyki PAN,14,4,29%,1 194 377 zł,"66,35",18 001 zł
NZ2R,A,"",Instytut Oceanologii PAN,28,4,14%,1 256 692 zł,"92,53",13 581 zł
NZ2R,A,"",Instytut Genetyki i Hodowli Zwierząt PAN,22,2,9%,786 617 zł,"63,16",12 454 zł
NZ2R,B,"",Instytut Genetyki Roślin PAN,19,4,21%,736 764 zł,"60,63",12 152 zł
NZ2R,A,"",Instytut Agrofizyki im. Bohdana Dobrzańskiego PAN,22,2,9%,377 150 zł,58,6 503 zł
NZ2R,C,"",Instytut Podstaw Inżynierii Środowiska PAN,4,1,25%,99 800 zł,"37,66",2 650 zł
NZ2R,A,"","Instytut Fizjologii Roślin im. Franciszka Górskiego PAN",8,0,0%,0 zł,"39,13",0 zł
NZ2R,B,"",Instytut Środowiska Rolniczego i Leśnego PAN,17,0,0%,0 zł,39,0 zł
NZ3M,A,"","Instytut ""Centrum Zdrowia Matki Polki""",35,2,6%,1 555 825 zł,"44,54",34 931 zł
NZ3M,A,"",Instytut Psychiatrii i Neurologii,15,2,13%,2 135 600 zł,"80,98",26 372 zł
NZ3M,B,"",Narodowy Instytut Leków,14,5,36%,2 837 104 zł,"111,15",25 525 zł
NZ3M,B,"","Wojskowy Instytut Higieny i Epidemiologii im. gen. Karola Kaczkowskiego",6,1,17%,1 144 780 zł,"48,5",23 604 zł
NZ3M,A+,"",Instytut Fizjologii i Patologii Słuchu,9,1,11%,354 400 zł,16,22 150 zł
NZ3M,B,"",Instytut Matki i Dziecka,9,3,33%,1 028 110 zł,"49,1",20 939 zł
NZ3M,A,"","Instytut Medycyny Pracy im. prof. dr. med. Jerzego Nofera",12,2,17%,1 813 928 zł,"103,26",17 567 zł
NZ3M,A,"",Wojskowy Instytut Medyczny,9,1,11%,1 370 657 zł,86,15 938 zł
NZ3M,A,"","Centrum Onkologii - Instytut im. Marii Skłodowskiej-Curie",38,8,21%,5 298 320 zł,336,15 769 zł
NZ3M,B,"",Instytut Hematologii i Transfuzjologii,8,2,25%,552 623 zł,40,13 816 zł
NZ3M,A+,"","Instytut ""Pomnik - Centrum Zdrowia Dziecka""",11,2,18%,830 542 zł,"88,15",9 422 zł
NZ3M,A,"","Instytut Kardiologii im. Prymasa Tysiąclecia Stefana Kardynała Wyszyńskiego",11,2,18%,299 499 zł,"70,9",4 224 zł
NZ3M,B,"",Instytut Biotechnologii i Antybiotyków,1,0,0%,0 zł,"92,25",0 zł
NZ3M,B,"",Instytut Farmaceutyczny,1,0,0%,0 zł,"133,23",0 zł
NZ3M,B,"","Instytut Reumatologii im. prof. dr hab. med. Eleonory Reicher",2,0,0%,0 zł,"32,21",0 zł
NZ3M,B,"",Instytut Gruźlicy i Chorób Płuc,2,0,0%,0 zł,"69,2",0 zł
NZ3M,B,"",Instytut Sportu,3,0,0%,0 zł,"44,5",0 zł
NZ3M,B,"",Wojskowy Instytut Medycyny Lotniczej,4,0,0%,0 zł,34,0 zł
NZ3M,B,"",Instytut Medycyny Pracy i Zdrowia Środowiskowego,6,0,0%,0 zł,"40,92",0 zł
NZ3M,A,"",Instytut Medycyny Wsi im. Witolda Chodźki,32,0,0%,0 zł,"52,58",0 zł
NZ3R,A,"","Państwowy Instytut Weterynaryjny - Państwowy Instytut Badawczy",29,3,10%,2 638 447 zł,149,17 708 zł
NZ3R,B,"","Instytut Hodowli i Aklimatyzacji Roślin - Państwowy Instytut Badawczy",12,4,33%,2 937 096 zł,"186,25",15 770 zł
NZ3R,B,"","Instytut Ochrony Roślin - Państwowy Instytut Badawczy",18,4,22%,2 080 590 zł,180,11 559 zł
NZ3R,B,"","Instytut Uprawy Nawożenia i Gleboznawstwa - Państwowy Instytut Badawczy",13,2,15%,1 034 800 zł,"93,5",11 067 zł
NZ3R,A,"",Instytut Zootechniki - Państwowy Instytut Badawczy,10,1,10%,607 135 zł,"120,9",5 022 zł
NZ3R,A,"","Instytut Ochrony Środowiska - Państwowy Instytut Badawczy",2,0,0%,0 zł,56,0 zł
NZ3R,A,"","Morski Instytut Rybacki – Państwowy Instytut Badawczy",2,0,0%,0 zł,"60,65",0 zł
NZ3R,B,"",Instytut Ekologii Terenów Uprzemysłowionych,3,0,0%,0 zł,46,0 zł
NZ3R,B,"",Instytut Badawczy Leśnictwa,3,0,0%,0 zł,"149,37",0 zł
NZ3R,B,"",Instytut Technologii Drewna,3,0,0%,0 zł,"59,15",0 zł
NZ3R,A,"",Instytut Ogrodnictwa,4,0,0%,0 zł,"183,2",0 zł
NZ3R,B,"","Instytut Biotechnologii Przemysłu Rolno-Spożywczego",4,0,0%,0 zł,"130,2",0 zł
NZ3R,B,"",Instytut Włókien Naturalnych i Roślin Zielarskich,7,0,0%,0 zł,"82,95",0 zł
NZ3R,B,"",Instytut Technologiczno-Przyrodniczy,11,0,0%,0 zł,"160,75",0 zł
SI1BA,B,Wydział Budownictwa i Inżynierii Środowiska,Politechnika Białostocka,10,2,20%,1 292 180 zł,"134,5",9 607 zł
SI1BA,A,Wydział Budownictwa i Architektury,"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie",8,2,25%,1 144 240 zł,"135,8",8 426 zł
SI1BA,B,Wydział Inżynierii Lądowej,Politechnika Warszawska,10,1,10%,772 040 zł,120,6 434 zł
SI1BA,B,Wydział Inżynierii Środowiska,Politechnika Warszawska,18,2,11%,752 528 zł,123,6 118 zł
SI1BA,B,Wydział Architektury,Politechnika Gdańska,6,1,17%,125 000 zł,65,1 923 zł
SI1BA,A,Wydział Architektury,Politechnika Wrocławska,13,1,8%,148 880 zł,132,1 128 zł
SI1BA,B,Wydział Budownictwa,Politechnika Śląska,1,0,0%,0 zł,113,0 zł
SI1BA,B,"Wydział Budownictwa, Mechaniki i Petrochemii",Politechnika Warszawska,1,0,0%,0 zł,"103,75",0 zł
SI1BA,B,Wydział Inżynierii Lądowej i Środowiska,Uniwersytet Zielonogórski,2,0,0%,0 zł,94,0 zł
SI1BA,B,Wydział Architektury,Politechnika Białostocka,2,0,0%,0 zł,"49,5",0 zł
SI1BA,B,Wydział Architektury i Sztuk Pięknych,"Krakowska Akademia im. Andrzeja Frycza Modrzewskiego",2,0,0%,0 zł,25,0 zł
SI1BA,C,"",Wyższa Szkoła Techniczna w Katowicach,2,0,0%,0 zł,94,0 zł
SI1BA,B,"Wydział Inżynierii Lądowej, Środowiska i Geodezji",Politechnika Koszalińska,3,0,0%,0 zł,95,0 zł
SI1BA,B,Wydział Budownictwa,Politechnika Częstochowska,3,0,0%,0 zł,59,0 zł
SI1BA,B,"Wydział Budownictwa, Architektury i Inżynierii Środowiska","Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",3,0,0%,0 zł,99,0 zł
SI1BA,A,Wydział Budownictwa,Politechnika Opolska,3,0,0%,0 zł,69,0 zł
SI1BA,A,Wydział Budownictwa i Architektury,Politechnika Lubelska,4,0,0%,0 zł,80,0 zł
SI1BA,A,Wydział Architektury,Politechnika Poznańska,4,0,0%,0 zł,44,0 zł
SI1BA,B,Wydział Budownictwa i Inżynierii Środowiska,Politechnika Poznańska,6,0,0%,0 zł,147,0 zł
SI1BA,A,Wydział Inżynierii Środowiska,Politechnika Wrocławska,7,0,0%,0 zł,"107,5",0 zł
SI1BA,A,Wydział Architektury,Politechnika Krakowska im. Tadeusza Kościuszki,8,0,0%,0 zł,191,0 zł
SI1BA,B,Wydział Budownictwa Lądowego i Wodnego,Politechnika Wrocławska,8,0,0%,0 zł,175,0 zł
SI1BA,A,Wydział Inżynierii Lądowej i Środowiska,Politechnika Gdańska,9,0,0%,0 zł,"166,5",0 zł
SI1BA,B,Wydział Inżynierii Środowiska,Politechnika Krakowska im. Tadeusza Kościuszki,11,0,0%,0 zł,"99,5",0 zł
SI1BA,B,Wydział Budownictwa i Inżynierii Środowiska,Politechnika Rzeszowska im. Ignacego Łukasiewicza,11,0,0%,0 zł,128,0 zł
SI1BA,A,"Wydział Budownictwa, Architektury i Inżynierii Środowiska",Politechnika Łódzka,13,0,0%,0 zł,"88,5",0 zł
SI1BA,B,Wydział Inżynierii Lądowej,Politechnika Krakowska im. Tadeusza Kościuszki,13,0,0%,0 zł,239,0 zł
SI1BA,B,Wydział Architektury,Politechnika Śląska,15,0,0%,0 zł,"70,5",0 zł
SI1CT,A+,Centrum Nowych Technologii,Uniwersytet Warszawski,22,11,50%,8 263 805 zł,"41,15",200 822 zł
SI1CT,A+,Wydział Chemii,Uniwersytet Jagielloński,78,24,31%,16 525 422 zł,156,105 932 zł
SI1CT,A+,Wydział Chemii,Uniwersytet Warszawski,73,17,23%,10 380 299 zł,143,72 590 zł
SI1CT,A,Wydział Chemii,Uniwersytet Wrocławski,44,16,36%,8 013 655 zł,"111,5",71 871 zł
SI1CT,A,Wydział Chemii,Uniwersytet Łódzki,29,9,31%,4 925 520 zł,"78,7",62 586 zł
SI1CT,A,Wydział Chemiczny,Politechnika Gdańska,103,13,13%,5 843 719 zł,138,42 346 zł
SI1CT,A,Wydział Chemii,Uniwersytet im. Adama Mickiewicza w Poznaniu,93,15,16%,7 991 738 zł,204,39 175 zł
SI1CT,A,Wydział Chemiczny,Politechnika Wrocławska,70,11,16%,7 240 137 zł,"218,43",33 146 zł
SI1CT,A,"Interdyscyplinarne Centrum Modelowania Matematycznego i Komputerowego",Uniwersytet Warszawski,9,1,11%,468 000 zł,16,29 250 zł
SI1CT,A,Wydział Chemii,Uniwersytet Mikołaja Kopernika w Toruniu,45,7,16%,2 159 941 zł,"91,5",23 606 zł
SI1CT,A,Wydział Technologii Chemicznej,Politechnika Poznańska,28,6,21%,2 114 550 zł,92,22 984 zł
SI1CT,A,Wydział Chemii,Uniwersytet Gdański,54,6,11%,1 775 710 zł,"81,3",21 841 zł
SI1CT,A,Wydział Chemiczny,Politechnika Śląska,53,7,13%,2 231 565 zł,105,21 253 zł
SI1CT,A,Wydział Chemiczny,Politechnika Warszawska,44,9,20%,2 195 272 zł,"143,85",15 261 zł
SI1CT,A,Wydział Chemii,Uniwersytet Marii Curie-Skłodowskiej,28,1,4%,396 000 zł,160,2 475 zł
SI1CT,A,Wydział Chemiczny,Politechnika Łódzka,31,2,6%,173 960 zł,"153,25",1 135 zł
SI1CT,B,Instytut Papiernictwa i Poligrafii,Politechnika Łódzka,1,0,0%,0 zł,15,0 zł
SI1CT,B,"",Szkoła Główna Służby Pożarniczej,1,0,0%,0 zł,154,0 zł
SI1CT,A,Wydział Chemii,Uniwersytet Opolski,4,0,0%,0 zł,43,0 zł
SI1EA,A,Wydział Informatyki,Politechnika Poznańska,17,7,41%,2 095 460 zł,95,22 057 zł
SI1EA,A,Wydział Elektroniki i Telekomunikacji,Politechnika Poznańska,12,2,17%,1 081 282 zł,54,20 024 zł
SI1EA,A,Wydział Elektroniki,Politechnika Wrocławska,20,7,35%,3 472 068 zł,"185,25",18 743 zł
SI1EA,B,Wydział Informatyki Stosowanej,Wyższa Szkoła Informatyki i Zarządzania w Rzeszowie,2,1,50%,416 050 zł,"26,1",15 941 zł
SI1EA,A+,Wydział Elektroniki Mikrosystemów i Fotoniki,Politechnika Wrocławska,21,1,5%,1 041 780 zł,"71,08",14 656 zł
SI1EA,A,"Wydział Elektroniki, Telekomunikacji i Informatyki",Politechnika Gdańska,24,4,17%,1 954 181 zł,143,13 666 zł
SI1EA,A,"Wydział Informatyki, Elektroniki i Telekomunikacji","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",20,4,20%,2 078 681 zł,"183,5",11 328 zł
SI1EA,A,"Wydział Elektrotechniki, Automatyki, Informatyki i Inżynierii Biomedycznej","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",38,3,8%,1 950 880 zł,"225,83",8 639 zł
SI1EA,B,"Wydział Elektrotechniki, Informatyki i Telekomunikacji",Uniwersytet Zielonogórski,11,1,9%,597 530 zł,71,8 416 zł
SI1EA,B,Wydział Elektryczny,Politechnika Białostocka,3,1,33%,525 940 zł,69,7 622 zł
SI1EA,A,Instytut Optoelektroniki,"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego",10,1,10%,757 200 zł,102,7 424 zł
SI1EA,A,"Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki",Politechnika Łódzka,30,3,10%,1 379 190 zł,"207,2",6 656 zł
SI1EA,A,"Wydział Automatyki, Elektroniki i Informatyki",Politechnika Śląska,29,3,10%,1 740 920 zł,"273,85",6 357 zł
SI1EA,B,Wydział Informatyki i Zarządzania,Politechnika Wrocławska,19,4,21%,1 029 985 zł,"174,6",5 899 zł
SI1EA,A+,Wydział Elektroniki i Technik Informacyjnych,Politechnika Warszawska,32,4,13%,1 479 430 zł,"265,55",5 571 zł
SI1EA,B,"Wydział Elektrotechniki, Automatyki i Informatyki",Politechnika Opolska,4,1,25%,402 000 zł,84,4 786 zł
SI1EA,A,Wydział Elektryczny,Politechnika Warszawska,12,1,8%,496 200 zł,"128,5",3 861 zł
SI1EA,B,Wydział Elektrotechniki i Informatyki,Politechnika Rzeszowska im. Ignacego Łukasiewicza,5,1,20%,143 650 zł,108,1 330 zł
SI1EA,B,"Wydział Elektrotechniki, Automatyki i Informatyki",Politechnika Świętokrzyska,1,0,0%,0 zł,67,0 zł
SI1EA,B,Wydział Cybernetyki,"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego",1,0,0%,0 zł,111,0 zł
SI1EA,B,"Wydział Telekomunikacji, Informatyki i Elektrotechniki","Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",2,0,0%,0 zł,52,0 zł
SI1EA,B,Wydział Elektroniki,"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego",2,0,0%,0 zł,"91,75",0 zł
SI1EA,B,Wydział Elektryczny,Akademia Morska w Gdyni,3,0,0%,0 zł,65,0 zł
SI1EA,A,Wydział Elektryczny,Politechnika Wrocławska,3,0,0%,0 zł,88,0 zł
SI1EA,B,Wydział Inżynierii Produkcji i Logistyki,Politechnika Opolska,5,0,0%,0 zł,88,0 zł
SI1EA,B,Wydział Elektroniki i Informatyki,Politechnika Koszalińska,5,0,0%,0 zł,"42,75",0 zł
SI1EA,B,Wydział Informatyki,"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie",7,0,0%,0 zł,"62,6",0 zł
SI1EA,A,Wydział Elektryczny,Politechnika Częstochowska,7,0,0%,0 zł,"72,17",0 zł
SI1EA,A,Wydział Elektrotechniki i Informatyki,Politechnika Lubelska,7,0,0%,0 zł,"95,5",0 zł
SI1EA,B,Wydział Informatyki,Politechnika Białostocka,8,0,0%,0 zł,68,0 zł
SI1EA,B,Wydział Elektryczny,Politechnika Śląska,9,0,0%,0 zł,127,0 zł
SI1EA,B,Wydział Elektrotechniki i Automatyki,Politechnika Gdańska,13,0,0%,0 zł,93,0 zł
SI1EA,A,Wydział Elektryczny,"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie",15,0,0%,0 zł,"82,1",0 zł
SI1EA,B,Wydział Elektryczny,Politechnika Poznańska,25,0,0%,0 zł,152,0 zł
SI1EA,C,"",Warszawska Wyższa Szkoła Informatyki,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
SI1FA,B,Środowiskowe Laboratorium Ciężkich Jonów,Uniwersytet Warszawski,2,2,100%,2 422 500 zł,29,83 534 zł
SI1FA,A,Wydział Podstawowych Problemów Techniki,Politechnika Wrocławska,57,19,33%,11 407 061 zł,"192,66",59 208 zł
SI1FA,A,Wydział Fizyki i Astronomii,Uniwersytet Wrocławski,30,5,17%,4 702 930 zł,"94,5",49 766 zł
SI1FA,A+,Wydział Fizyki,Uniwersytet Warszawski,64,23,36%,10 046 139 zł,"241,38",41 620 zł
SI1FA,A+,"Wydział Fizyki, Astronomii i Informatyki Stosowanej",Uniwersytet Jagielloński,73,19,26%,8 766 024 zł,"227,05",38 608 zł
SI1FA,A,"Wydział Fizyki, Astronomii i Informatyki Stosowanej",Uniwersytet Mikołaja Kopernika w Toruniu,41,12,29%,5 108 550 zł,"137,5",37 153 zł
SI1FA,A,Wydział Fizyki i Astronomii,Uniwersytet Zielonogórski,15,2,13%,799 000 zł,34,23 500 zł
SI1FA,A,Wydział Fizyki,Politechnika Warszawska,29,5,17%,1 961 288 zł,"88,9",22 062 zł
SI1FA,A+,Wydział Fizyki i Informatyki Stosowanej,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",31,7,23%,3 006 170 zł,144,20 876 zł
SI1FA,B,"Wydział Matematyki, Fizyki i Informatyki",Uniwersytet Marii Curie-Skłodowskiej,24,7,29%,2 926 705 zł,"165,5",17 684 zł
SI1FA,A,"Wydział Matematyki, Fizyki i Chemii",Uniwersytet Śląski w Katowicach,41,10,24%,3 396 307 zł,"220,5",15 403 zł
SI1FA,A,Wydział Fizyki,Uniwersytet im. Adama Mickiewicza w Poznaniu,31,4,13%,2 209 735 zł,"152,3",14 509 zł
SI1FA,B,"Wydział Matematyki, Fizyki i Techniki",Uniwersytet Kazimierza Wielkiego,9,2,22%,1 135 500 zł,96,11 828 zł
SI1FA,A,Wydział Fizyki i Informatyki Stosowanej,Uniwersytet Łódzki,6,1,17%,360 620 zł,59,6 112 zł
SI1FA,C,"Wydział Fizyki, Matematyki i Informatyki",Politechnika Krakowska im. Tadeusza Kościuszki,12,1,8%,253 800 zł,108,2 350 zł
SI1FA,B,Wydział Fizyki Technicznej,Politechnika Poznańska,11,1,9%,99 970 zł,45,2 222 zł
SI1FA,B,Wydział Matematyczno-Przyrodniczy,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",1,1,100%,92 292 zł,47,1 964 zł
SI1FA,B,Wydział Matematyczno-Przyrodniczy,Uniwersytet Jana Kochanowskiego w Kielcach,23,1,4%,77 970 zł,161,484 zł
SI1FA,B,"Wydział Matematyki, Fizyki i Informatyki",Uniwersytet Opolski,4,0,0%,0 zł,48,0 zł
SI1FA,A,"Instytut Fizyki - Centrum Naukowo-Dydaktyczne",Politechnika Śląska,5,0,0%,0 zł,38,0 zł
SI1FA,B,Wydział Matematyczno-Przyrodniczy,Uniwersytet Rzeszowski,7,0,0%,0 zł,"133,5",0 zł
SI1FA,A,Wydział Fizyki,Uniwersytet w Białymstoku,8,0,0%,0 zł,35,0 zł
SI1FA,B,"Wydział Fizyki Technicznej i Matematyki Stosowanej",Politechnika Gdańska,9,0,0%,0 zł,68,0 zł
SI1FA,B,Wydział Matematyczno-Fizyczny,Uniwersytet Szczeciński,11,0,0%,0 zł,"44,5",0 zł
SI1FA,B,Wydział Matematyczno-Przyrodniczy,Akademia im. Jana Długosza w Częstochowie,19,0,0%,0 zł,121,0 zł
SI1GE,A,Wydział Inżynierii Środowiska i Energetyki,Politechnika Śląska,48,8,17%,4 276 439 zł,200,21 382 zł
SI1GE,A,Wydział Mechaniczny Energetyki i Lotnictwa,Politechnika Warszawska,24,1,4%,1 036 620 zł,"133,7",7 753 zł
SI1GE,B,Wydział Geodezji i Gospodarki Przestrzennej,Uniwersytet Warmińsko-Mazurski w Olsztynie,12,4,33%,912 653 zł,129,7 075 zł
SI1GE,B,"Wydział Inżynierii Kształtowania Środowiska i Geodezji",Uniwersytet Przyrodniczy we Wrocławiu,15,1,7%,631 550 zł,144,4 386 zł
SI1GE,A,Wydział Energetyki i Paliw,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",8,1,13%,109 232 zł,99,1 103 zł
SI1GE,B,"Wydział Geodezji Górniczej i Inżynierii Środowiska","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",4,1,25%,99 463 zł,"114,17",871 zł
SI1GE,B,Wydział Transportu i Elektrotechniki,"Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu",1,0,0%,0 zł,67,0 zł
SI1GE,B,Wydział Nawigacyjny,Akademia Morska w Gdyni,1,0,0%,0 zł,43,0 zł
SI1GE,B,"","Międzynarodowa Wyższa Szkoła Logistyki i Transportu we Wrocławiu",1,0,0%,0 zł,24,0 zł
SI1GE,B,Wydział Nawigacyjny,Akademia Morska w Szczecinie,2,0,0%,0 zł,"80,5",0 zł
SI1GE,B,Wydział Górnictwa i Geoinżynierii,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",2,0,0%,0 zł,"165,5",0 zł
SI1GE,B,Wydział Inżynieryjno-Ekonomiczny Transportu,Akademia Morska w Szczecinie,3,0,0%,0 zł,49,0 zł
SI1GE,A,"Wydział Wiertnictwa, Nafty i Gazu","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",4,0,0%,0 zł,58,0 zł
SI1GE,B,Wydział Inżynierii Lądowej i Geodezji,"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego",6,0,0%,0 zł,"57,8",0 zł
SI1GE,A,Wydział Maszyn Roboczych i Transportu,Politechnika Poznańska,7,0,0%,0 zł,"132,5",0 zł
SI1GE,B,Wydział Górnictwa i Geologii,Politechnika Śląska,10,0,0%,0 zł,"142,5",0 zł
SI1GE,B,Wydział Transportu,Politechnika Warszawska,12,0,0%,0 zł,77,0 zł
SI1IM,A+,Wydział Inżynierii Materiałowej,Politechnika Warszawska,28,9,32%,5 349 835 zł,41,130 484 zł
SI1IM,A,Wydział Inżynierii Chemicznej i Procesowej,Politechnika Warszawska,31,8,26%,2 177 447 zł,44,49 487 zł
SI1IM,A,Wydział Inżynierii Materiałowej i Ceramiki,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",54,12,22%,5 444 475 zł,111,49 049 zł
SI1IM,B,"Wydział Inżynierii Procesowej i Ochrony Środowiska",Politechnika Łódzka,15,3,20%,1 567 980 zł,67,23 403 zł
SI1IM,B,"Wydział Inżynierii Metali i Informatyki Przemysłowej","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",34,6,18%,2 832 338 zł,165,17 166 zł
SI1IM,B,Wydział Technologii i Inżynierii Chemicznej,"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",9,2,22%,943 010 zł,77,12 247 zł
SI1IM,A,Wydział Metali Nieżelaznych,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",12,2,17%,618 147 zł,67,9 226 zł
SI1IM,B,Wydział Inżynierii i Technologii Chemicznej,Politechnika Krakowska im. Tadeusza Kościuszki,16,1,6%,844 375 zł,113,7 472 zł
SI1IM,B,Wydział Chemiczny,Politechnika Rzeszowska im. Ignacego Łukasiewicza,16,2,13%,647 250 zł,95,6 813 zł
SI1IM,B,Wydział Inżynierii Materiałowej i Metalurgii,Politechnika Śląska,13,1,8%,508 000 zł,99,5 131 zł
SI1IM,A,Wydział Nowych Technologii i Chemii,"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego",13,2,15%,296 400 zł,"90,85",3 263 zł
SI1IM,A,Wydział Technologii i Inżynierii Chemicznej,"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie",19,2,11%,299 620 zł,104,2 881 zł
SI1IM,B,Wydział Nauk o Materiałach i Środowisku,"Akademia Techniczno-Humanistyczna w Bielsku-Białej",1,0,0%,0 zł,55,0 zł
SI1IM,B,Wydział Inżynierii Środowiska,Politechnika Lubelska,1,0,0%,0 zł,34,0 zł
SI1IM,B,"Wydział Materiałoznawstwa, Technologii i Wzornictwa","Uniwersytet Technologiczno-Humanistyczny im. Kazimierza Pułaskiego w Radomiu",2,0,0%,0 zł,25,0 zł
SI1IM,B,"Wydział Inżynierii Środowiska, Geomatyki i Energetyki",Politechnika Świętokrzyska,3,0,0%,0 zł,45,0 zł
SI1IM,B,Wydział Odlewnictwa,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",11,0,0%,0 zł,75,0 zł
SI1IM,B,Wydział Informatyki i Nauki o Materiałach,Uniwersytet Śląski w Katowicach,11,0,0%,0 zł,109,0 zł
SI1IM,B,Wydział Inżynierii Środowiska i Biotechnologii,Politechnika Częstochowska,11,0,0%,0 zł,72,0 zł
SI1IM,A,"Wydział Technologii Materiałowych i Wzornictwa Tekstyliów",Politechnika Łódzka,17,0,0%,0 zł,69,0 zł
SI1MH,A,Wydział Mechaniczny,Politechnika Lubelska,14,4,29%,2 187 660 zł,129,16 959 zł
SI1MH,B,Wydział Mechaniczny,Politechnika Gdańska,16,1,6%,985 920 zł,"72,58",13 584 zł
SI1MH,A,Wydział Mechatroniki,Politechnika Warszawska,5,1,20%,955 660 zł,"92,54",10 327 zł
SI1MH,A,Wydział Inżynierii Mechanicznej i Robotyki,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",24,3,13%,2 019 552 zł,"219,83",9 187 zł
SI1MH,A,Instytut Technologii i Edukacji,Politechnika Koszalińska,4,1,25%,484 171 zł,57,8 494 zł
SI1MH,A,Wydział Mechaniczny,Politechnika Łódzka,29,3,10%,1 423 330 zł,184,7 735 zł
SI1MH,A,Wydział Inżynierii Biomedycznej,Politechnika Śląska,6,1,17%,309 630 zł,43,7 201 zł
SI1MH,B,Wydział Inżynierii Mechanicznej i Informatyki,Politechnika Częstochowska,23,5,22%,1 132 920 zł,162,6 993 zł
SI1MH,B,Wydział Mechaniczny,Politechnika Krakowska im. Tadeusza Kościuszki,13,3,23%,1 541 306 zł,"278,5",5 534 zł
SI1MH,B,Wydział Inżynierii Produkcji,Politechnika Warszawska,15,1,7%,483 200 zł,"107,6",4 491 zł
SI1MH,A,Wydział Budowy Maszyn i Zarządzania,Politechnika Poznańska,24,3,13%,604 305 zł,"144,35",4 186 zł
SI1MH,A,Wydział Mechaniczny,Politechnika Białostocka,10,2,20%,202 360 zł,87,2 326 zł
SI1MH,A,Wydział Mechaniczny,Politechnika Wrocławska,27,2,7%,569 450 zł,"250,31",2 275 zł
SI1MH,B,"Wydział Zarządzania i Modelowania Komputerowego",Politechnika Świętokrzyska,3,1,33%,104 000 zł,47,2 213 zł
SI1MH,B,Wydział Mechaniczno-Energetyczny,Politechnika Wrocławska,2,1,50%,149 720 zł,93,1 610 zł
SI1MH,A,"Wydział Inżynierii Mechanicznej i Mechatroniki","Zachodniopomorski Uniwersytet Technologiczny w Szczecinie",5,1,20%,93 400 zł,"99,05",943 zł
SI1MH,A,Wydział Mechatroniki i Budowy Maszyn,Politechnika Świętokrzyska,1,0,0%,0 zł,76,0 zł
SI1MH,B,Wydział Mechaniczny,Akademia Morska w Gdyni,1,0,0%,0 zł,64,0 zł
SI1MH,B,Wydział Lotnictwa,Wyższa Szkoła Oficerska Sił Powietrznych,1,0,0%,0 zł,40,0 zł
