GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,Współczynnik sukcesu,Przyznana kwota,Pracownicy naukowi,"Kwota/pracownicy naukowi"
HS1EK,B,Wydział Ekonomii,Uniwersytet Rzeszowski,9,0,0%,0 zł,45,0 zł,MNiSW 2014
HS1EK,A,Wydział Zarządzania i Finansów,Wyższa Szkoła Finansów i Zarządzania w Warszawie,10,0,0%,0 zł,38,0 zł,MNiSW 2014
HS1EK,A,Wydział Zarządzania,Uniwersytet Łódzki,11,0,0%,0 zł,"110,5",0 zł,MNiSW 2014
HS1EK,B,Wydział Ekonomii i Zarządzania,Uniwersytet Zielonogórski,11,0,0%,0 zł,68,0 zł,MNiSW 2014
HS1EK,B,Wydział Nauk Ekonomicznych,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie",15,0,0%,0 zł,121,0 zł,MNiSW 2014
HS1EK,B,Wydział Zarządzania,Uniwersytet Gdański,16,0,0%,0 zł,142,0 zł,MNiSW 2014
HS1EK,B,Wydział Organizacji i Zarządzania,Politechnika Śląska,17,0,0%,0 zł,152,0 zł,MNiSW 2014
HS1EK,A,Wydział Nauk Ekonomicznych i Zarządzania,Uniwersytet Szczeciński,23,0,0%,0 zł,"168,5",0 zł
HS1EK,B,Wydział Zarządzania i Informatyki,"Akademia Techniczno-Humanistyczna w Bielsku-Białej",1,1,100%,149 230 zł,BRAK DANYCH,BRAK DANYCH
HS1EK,C,Wydział Nauk Technicznych,Dolnośląska Szkoła Wyższa,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS1EK,B,"",Szkoła Wyższa im. Bogdana Jańskiego,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS1EK,B,Instytut Zarządzania Ryzykiem,Akademia Finansów i Biznesu Vistula,3,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS1EK,B,Wydział Menedżerski,Wyższa Szkoła Menedżerska w Warszawie,3,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
