GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu","Przyznana kwota","Pracownicy naukowi","Kwota/pracownicy naukowi"
HS1EK,B,Wydział Zarządzania,"Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",5,0,0%,0 zł,39,0 zł
HS1EK,B,Wydział Ekonomiczny,"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie",3,0,0%,0 zł,"58,5",0 zł
HS1EK,A,Wydział Zarządzania,Społeczna Akademia Nauk,1,0,0%,0 zł,131,0 zł
HS1EK,B,Wydział Nauk Ekonomicznych i Prawnych,Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach,4,0,0%,0 zł,50,0 zł
HS1EK,A,"Wydział Zarządzania, Informatyki i Nauk Społecznych",Wyższa Szkoła Biznesu w Dąbrowie Górniczej,2,0,0%,0 zł,62,0 zł
HS1EK,B,Wydział Ekonomii i Zarządzania,Uczelnia Łazarskiego,2,0,0%,0 zł,40,0 zł
HS1EK,B,"","Wyższa Szkoła Gospodarki Euroregionalnej im. Alcide De Gasperi w Józefowie",2,0,0%,0 zł,52,0 zł
HS1EK,B,Kolegium Nauk Ekonomicznych i Społecznych,Politechnika Warszawska,1,0,0%,0 zł,11,0 zł
HS1EK,B,Instytut Zarządzania Ryzykiem,Akademia Finansów i Biznesu Vistula,7,3,43%,861 395 zł,BRAK DANYCH,BRAK DANYCH
HS1EK,B,Wydział Zarządzania i Informatyki,Akademia Techniczno-Humanistyczna w Bielsku-Białej,4,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS1EK,B,"",Szkoła Wyższa im. Bogdana Jańskiego,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
HS1EK,B,Wydział Menedżerski,Wyższa Szkoła Menedżerska w Warszawie,1,1,100%,302 025 zł,BRAK DANYCH,BRAK DANYCH
HS2EK,A,"",Instytut Rozwoju Wsi i Rolnictwa PAN,2,1,50%,995 636 zł,"22,35",44 547 zł
HS2EK,B,"",Instytut Nauk Ekonomicznych PAN,1,1,100%,182 000 zł,26,7 000 zł
HS3EK,A,"",Instytut Pracy i Spraw Socjalnych,7,4,57%,949 812 zł,46,20 648 zł
HS3EK,B,"","Instytut Badań Rynku, Konsumpcji i Koniunktur",2,2,100%,413 600 zł,"34,5",11 988 zł
HS1FB,A,Wydział „Artes Liberales”,Uniwersytet Warszawski,12,5,42%,2 934 246 zł,"46,3",63 375 zł
HS1FB,A,Wydział Anglistyki,Uniwersytet im. Adama Mickiewicza w Poznaniu,27,9,33%,2 197 126 zł,89,24 687 zł
HS1FB,A,Wydział Polonistyki,Uniwersytet Warszawski,44,10,23%,2 880 964 zł,"162,1",17 773 zł
HS1FB,A+,Wydział Polonistyki,Uniwersytet Jagielloński,54,13,24%,1 499 452 zł,145,10 341 zł
HS1FB,B,Wydział Filologiczny,Uniwersytet Jagielloński,23,9,39%,1 893 757 zł,"237,36",7 978 zł
HS1FB,B,Wydział Neofilologii,Uniwersytet im. Adama Mickiewicza w Poznaniu,31,9,29%,1 857 926 zł,"245,5",7 568 zł
HS1FB,A,Wydział Filologiczny,Uniwersytet Wrocławski,31,3,10%,2 103 625 zł,"313,21",6 716 zł
HS1FB,A,Wydział Filologiczny,Uniwersytet Śląski w Katowicach,17,5,29%,2 506 440 zł,"374,5",6 693 zł
HS1FB,A+,Wydział Filologii Polskiej i Klasycznej,Uniwersytet im. Adama Mickiewicza w Poznaniu,49,10,20%,1 404 819 zł,217,6 474 zł
HS1FB,B,Wydział Filologiczny,Uniwersytet Łódzki,22,8,36%,1 817 350 zł,297,6 119 zł
HS1FB,A,Wydział Orientalistyczny,Uniwersytet Warszawski,10,4,40%,368 933 zł,80,4 612 zł
HS1FB,B,Wydział Filologiczny,Uniwersytet w Białymstoku,3,2,67%,390 563 zł,"94,5",4 133 zł
HS1FB,A,Wydział Lingwistyki Stosowanej,Uniwersytet Warszawski,16,4,25%,475 601 zł,117,4 065 zł
HS1FB,B,Wydział Humanistyczny,Uniwersytet Marii Curie-Skłodowskiej,13,5,38%,1 291 556 zł,360,3 588 zł
HS1FB,B,Wydział Nauk Humanistycznych,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie",7,2,29%,185 724 zł,65,2 857 zł
HS1FB,B,Wydział Nauk Humanistycznych,Katolicki Uniwersytet Lubelski Jana Pawła II,18,3,17%,459 824 zł,258,1 782 zł
HS1FB,A,Wydział Filologiczny,Uniwersytet Mikołaja Kopernika w Toruniu,6,2,33%,219 786 zł,129,1 704 zł
HS1FB,B,Wydział Humanistyczny,Uniwersytet Warmińsko-Mazurski w Olsztynie,16,2,13%,231 530 zł,177,1 308 zł
HS1FB,B,Wydział Neofilologii,Uniwersytet Warszawski,10,2,20%,216 810 zł,"166,25",1 304 zł
HS1FB,B,Wydział Filologiczny,Uniwersytet Gdański,13,1,8%,87 963 zł,241,365 zł
HS1FB,B,Wydział Filologiczny,Uniwersytet Opolski,7,1,14%,34 200 zł,113,303 zł
