GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,"Współczynnik sukcesu",Przyznana kwota,"Pracownicy naukowi","Kwota/pracownicy naukowi"
NZ1Z,B,Wydział Nauk o Ziemi,Uniwersytet Mikołaja Kopernika w Toruniu,8,1,13%,390 503 zł,BRAK DANYCH,BRAK DANYCH
NZ2B,A+,"",Instytut Biochemii i Biofizyki PAN,66,26,39%,19 497 342 zł,"116,35","167 574,92 zł"
NZ2B,A,"",Instytut Biologii Doświadczalnej im. M. Nenckiego PAN,106,43,41%,31 996 896 zł,196,"163 249,47 zł"
NZ2B,B,"",Instytut Biologii Medycznej PAN,16,8,50%,4 572 735 zł,"40,2","113 749,63 zł"
NZ2B,A,"",Instytut Genetyki Człowieka PAN,32,7,22%,6 101 570 zł,"65,25","93 510,65 zł"
NZ2B,A,"",Instytut Chemii Bioorganicznej PAN,43,16,37%,10 616 746 zł,"126,8","83 728,28 zł"
NZ2B,A,"",Instytut Ochrony Przyrody PAN,17,5,29%,3 280 068 zł,51,"64 315,06 zł"
NZ2B,A,"",Instytut Farmakologii PAN,44,18,41%,6 894 174 zł,"122,55","56 256,01 zł"
NZ2B,A,"","Instytut Medycyny Doświadczalnej i Klinicznej im. Mirosława Mossakowskiego PAN",48,16,33%,9 928 388 zł,"183,75","54 032,04 zł"
NZ2B,A,"",Instytut Paleobiologii im. Romana Kozłowskiego PAN,5,3,60%,908 748 zł,20,"45 437,40 zł"
NZ2B,A,"",Muzeum i Instytut Zoologii PAN,12,4,33%,1 729 404 zł,41,"42 180,59 zł"
NZ2B,A,"",Instytut Systematyki i Ewolucji Zwierząt PAN,8,3,38%,1 378 986 zł,40,"34 474,65 zł"
NZ2B,A,"",Instytut Immunologii i Terapii Doświadczalnej im. Ludwika Hirszfelda PAN,50,10,20%,3 228 120 zł,"155,5","20 759,61 zł"
NZ2B,A,"",Instytut Botaniki im. Władysława Szafera PAN,3,1,33%,895 684 zł,"72,8","12 303,35 zł"
NZ2B,B,"",Europejskie Regionalne Centrum Ekohydrologii PAN,1,0,0%,0 zł,8,"0,00 zł"
NZ2B,B,"",Instytut Parazytologii im. Witolda Stefańskiego PAN,13,0,0%,0 zł,"30,7","0,00 zł"
NZ2R,B,"",Instytut Genetyki Roślin PAN,20,9,45%,3 951 422 zł,60,"65 857,03 zł"
NZ2R,A+,"",Instytut Rozrodu Zwierząt i Badań Żywności PAN,31,14,45%,6 841 607 zł,"139,2","49 149,48 zł"
NZ2R,A,"",Instytut Genetyki i Hodowli Zwierząt PAN,32,5,16%,3 100 406 zł,"69,69","44 488,53 zł"
NZ2R,A,"",Instytut Agrofizyki im. Bohdana Dobrzańskiego PAN,28,5,18%,1 867 024 zł,"57,5","32 469,98 zł"
NZ2R,A,"",Instytut Nauk Geologicznych PAN,15,5,33%,2 508 520 zł,"82,42","30 435,82 zł"
NZ2R,A,"",Instytut Fizjologii Roślin im. Franciszka Górskiego PAN,14,2,14%,946 190 zł,"39,13","24 180,68 zł"
NZ2R,A,"",Instytut Oceanologii PAN,39,8,21%,2 376 806 zł,"110,28","21 552,47 zł"
NZ2R,B,"",Instytut Fizjologii i Żywienia Zwierząt im. Jana Kielanowskiego PAN,12,2,17%,866 904 zł,59,"14 693,29 zł"
NZ2R,B,"",Instytut Geografii i Przestrzennego Zagospodarowania im. S. Leszczyckiego PAN,18,2,11%,770 200 zł,"78,35","9 830,25 zł"
NZ2R,A,"",Instytut Geofizyki PAN,16,2,13%,626 980 zł,"76,05","8 244,31 zł"
NZ2R,C,"",Instytut Podstaw Inżynierii Środowiska PAN,9,1,11%,348 000 zł,"42,5","8 188,24 zł"
NZ2R,B,"",Instytut Środowiska Rolniczego i Leśnego PAN,10,1,10%,63 568 zł,37,"1 718,05 zł"
NZ2R,A,"",Instytut Dendrologii PAN,6,0,0%,0 zł,"49,4","0,00 zł"
NZ3M,A+,"",Instytut Fizjologii i Patologii Słuchu,3,1,33%,580 210 zł,17,"34 130,00 zł"
NZ3M,B,"",Instytut Matki i Dziecka,15,3,20%,2 022 212 zł,"62,38","32 417,63 zł"
NZ3M,A,"","Instytut ""Centrum Zdrowia Matki Polki""",31,2,6%,1 214 635 zł,"47,68","25 474,73 zł"
NZ3M,B,"",Instytut Gruźlicy i Chorób Płuc,4,1,25%,1 202 325 zł,58,"20 729,74 zł"
NZ3M,A,"",Instytut Psychiatrii i Neurologii,10,3,30%,1 158 315 zł,"81,73","14 172,46 zł"
NZ3M,A,"",Instytut Medycyny Pracy im. prof. dr. med. Jerzego Nofera,12,4,33%,1 324 378 zł,"104,1","12 722,17 zł"
NZ3M,A+,"","Instytut ""Pomnik - Centrum Zdrowia Dziecka""",10,1,10%,1 169 832 zł,"92,25","12 681,11 zł"
NZ3M,A,"",Instytut Medycyny Wsi im. Witolda Chodźki,24,2,8%,414 390 zł,"49,8","8 321,08 zł"
NZ3M,A,"",Wojskowy Instytut Medyczny,9,2,22%,275 160 zł,75,"3 668,80 zł"
NZ3M,B,"",Instytut Hematologii i Transfuzjologii,4,1,25%,100 000 zł,37,"2 702,70 zł"
NZ3M,B,"",Narodowy Instytut Leków,5,1,20%,149 640 zł,"116,55","1 283,91 zł"
NZ3M,A,"",Wojskowy Instytut Medyczny,1,0,0%,0 zł,75,"0,00 zł"
NZ3M,B,"",Instytut Farmaceutyczny,2,0,0%,0 zł,"126,58","0,00 zł"
NZ3M,A,"",Instytut Kardiologii im. Prymasa Tysiąclecia Stefana Kardynała Wyszyńskiego,9,0,0%,0 zł,70,"0,00 zł"
NZ3M,B,"",Instytut Medycyny Pracy i Zdrowia Środowiskowego,3,0,0%,0 zł,"33,39","0,00 zł"
NZ3M,B,"",Wojskowy Instytut Higieny i Epidemiologii im. gen. Karola Kaczkowskiego,9,0,0%,0 zł,"43,75","0,00 zł"
NZ3M,B,"",Wojskowy Instytut Medycyny Lotniczej,3,0,0%,0 zł,41,"0,00 zł"
NZ3M,B,"",Instytut Reumatologii im. prof. dr hab. med. Eleonory Reicher,5,2,40%,1 106 000 zł,BRAK DANYCH,BRAK DANYCH
NZ3R,A,"",Państwowy Instytut Weterynaryjny - Państwowy Instytut Badawczy,32,6,19%,1 667 834 zł,"146,25","11 403,99 zł"
NZ3R,B,"",Instytut Ochrony Roślin - Państwowy Instytut Badawczy,14,3,21%,1 835 040 zł,180,"10 194,67 zł"
NZ3R,A,"",Instytut Zootechniki - Państwowy Instytut Badawczy,16,2,13%,1 166 500 zł,117,"9 970,09 zł"
NZ3R,A,"",Morski Instytut Rybacki – Państwowy Instytut Badawczy,2,1,50%,559 544 zł,58,"9 647,31 zł"
NZ3R,B,"",Instytut Uprawy Nawożenia i Gleboznawstwa - Państwowy Instytut Badawczy,13,3,23%,1 092 450 zł,126,"8 670,24 zł"
NZ3R,B,"",Instytut Rybactwa Śródlądowego im. S. Sakowicza,3,1,33%,597 000 zł,69,"8 652,17 zł"
NZ3R,B,"",Instytut Hodowli i Aklimatyzacji Roślin - Państwowy Instytut Badawczy,14,1,7%,515 080 zł,"185,25","2 780,46 zł"
NZ3R,B,"",Instytut Badawczy Leśnictwa,3,0,0%,0 zł,"162,38","0,00 zł"
NZ3R,B,"",Instytut Ekologii Terenów Uprzemysłowionych,2,0,0%,0 zł,"42,05","0,00 zł"
NZ3R,A,"",Instytut Ogrodnictwa,7,0,0%,0 zł,"165,87","0,00 zł"
NZ3R,B,"",Instytut Technologiczno-Przyrodniczy,4,0,0%,0 zł,"159,4","0,00 zł"
NZ3R,B,"",Instytut Włókien Naturalnych i Roślin Zielarskich,4,0,0%,0 zł,"81,73","0,00 zł"
NZ3Z,B,"",Państwowy Instytut Geologiczny - Państwowy Instytut Badawczy,15,3,20%,1 456 596 zł,"311,25","4 679,83 zł"
SI1BA,A,"Wydział Budownictwa, Architektury i Inżynierii Środowiska",Politechnika Łódzka,4,2,50%,816 702 zł,"84,5","9 665,11 zł"
SI1BA,A,Wydział Inżynierii Lądowej i Środowiska,Politechnika Gdańska,17,4,24%,1 322 820 zł,"165,63","7 986,60 zł"
SI1BA,A,Wydział Architektury,Politechnika Wrocławska,15,3,20%,609 394 zł,"130,67","4 663,61 zł"
SI1BA,B,Wydział Budownictwa i Inżynierii Środowiska,Politechnika Białostocka,8,1,13%,542 920 zł,"146,5","3 705,94 zł"
SI1BA,B,Wydział Budownictwa Lądowego i Wodnego,Politechnika Wrocławska,6,1,17%,298 925 zł,"143,6","2 081,65 zł"
SI1BA,B,Wydział Inżynierii Lądowej,Politechnika Krakowska im. Tadeusza Kościuszki,7,1,14%,278 750 zł,232,"1 201,51 zł"
SI1BA,B,Wydział Budownictwa i Inżynierii Środowiska,Politechnika Poznańska,3,1,33%,150 000 zł,"141,5","1 060,07 zł"
SI1BA,A,Wydział Inżynierii Środowiska,Politechnika Wrocławska,4,1,25%,98 540 zł,103,"956,70 zł"
SI1BA,C,"",Wyższa Szkoła Techniczna w Katowicach,5,0,0%,0 zł,96,"0,00 zł"
SI1BA,B,Wydział Architektury i Sztuk Pięknych,Krakowska Akademia im. Andrzeja Frycza Modrzewskiego,1,0,0%,0 zł,24,"0,00 zł"
SI1BA,B,Wydział Architektury,Politechnika Białostocka,2,0,0%,0 zł,"51,5","0,00 zł"
SI1BA,B,Wydział Architektury,Politechnika Gdańska,7,0,0%,0 zł,59,"0,00 zł"
SI1BA,A,Wydział Architektury,Politechnika Krakowska im. Tadeusza Kościuszki,8,0,0%,0 zł,"178,7","0,00 zł"
SI1BA,A,Wydział Architektury,Politechnika Poznańska,7,0,0%,0 zł,40,"0,00 zł"
SI1BA,B,Wydział Architektury,Politechnika Śląska,2,0,0%,0 zł,70,"0,00 zł"
SI1BA,A,Wydział Architektury,Politechnika Warszawska,6,0,0%,0 zł,"81,9","0,00 zł"
SI1BA,A,Wydział Budownictwa i Architektury,Politechnika Lubelska,1,0,0%,0 zł,79,"0,00 zł"
SI1BA,B,Wydział Budownictwa i Architektury,Politechnika Świętokrzyska,5,0,0%,0 zł,73,"0,00 zł"
SI1BA,A,Wydział Budownictwa i Architektury,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,5,0,0%,0 zł,"141,5","0,00 zł"
SI1BA,A,Wydział Budownictwa i Inżynierii Środowiska,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,7,0,0%,0 zł,102,"0,00 zł"
SI1BA,B,"Wydział Budownictwa, Architektury i Inżynierii Środowiska","Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",4,0,0%,0 zł,103,"0,00 zł"
SI1BA,B,"Wydział Budownictwa, Inżynierii Środowiska i Architektury",Politechnika Rzeszowska im. Ignacego Łukasiewicza,14,0,0%,0 zł,"115,33","0,00 zł"
SI1BA,B,Wydział Budownictwa,Politechnika Częstochowska,1,0,0%,0 zł,58,"0,00 zł"
SI1BA,B,Wydział Inżynierii Lądowej,Politechnika Warszawska,4,0,0%,0 zł,133,"0,00 zł"
SI1BA,B,"Wydział Inżynierii Lądowej, Środowiska i Geodezji",Politechnika Koszalińska,3,0,0%,0 zł,"93,5","0,00 zł"
SI1BA,B,Wydział Inżynierii Środowiska,Politechnika Krakowska im. Tadeusza Kościuszki,4,0,0%,0 zł,"86,25","0,00 zł"
SI1BA,A,Wydział Budownictwa,Politechnika Opolska,7,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
SI1BA,B,Wydział Inżynierii Lądowej i Środowiska,Uniwersytet Zielonogórski,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
SI1BA,B,Wydział Inżynierii Środowiska,Politechnika Warszawska,9,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
SI1CT,A+,Centrum Nowych Technologii,Uniwersytet Warszawski,37,17,46%,19 163 184 zł,"63,85","300 128,18 zł"
SI1CT,A+,Wydział Chemii,Uniwersytet Warszawski,100,33,33%,18 571 015 zł,154,"120 591,01 zł"
SI1CT,A,Wydział Chemii,Uniwersytet Gdański,59,17,29%,11 741 546 zł,"120,53","97 415,96 zł"
SI1CT,A,Wydział Chemiczny,Politechnika Warszawska,52,17,33%,10 411 510 zł,"153,35","67 893,77 zł"
SI1CT,A,Wydział Technologii Chemicznej,Politechnika Poznańska,28,10,36%,5 566 688 zł,88,"63 257,82 zł"
SI1CT,A+,Wydział Chemii,Uniwersytet Jagielloński,68,21,31%,9 357 142 zł,"168,25","55 614,51 zł"
SI1CT,A,Wydział Chemiczny,Politechnika Łódzka,27,5,19%,7 893 754 zł,"148,5","53 156,59 zł"
SI1CT,A,Wydział Chemiczny,Politechnika Gdańska,81,12,15%,7 219 268 zł,151,"47 809,72 zł"
SI1CT,A,Wydział Chemii,Uniwersytet Wrocławski,30,9,30%,4 457 374 zł,"113,5","39 272,02 zł"
SI1CT,A,Wydział Chemiczny,Politechnika Wrocławska,62,13,21%,5 636 201 zł,"184,6","30 531,97 zł"
SI1CT,A,Wydział Chemii,Uniwersytet im. Adama Mickiewicza w Poznaniu,94,15,16%,5 224 755 zł,"208,35","25 076,82 zł"
SI1CT,A,Wydział Chemii,Uniwersytet Opolski,7,2,29%,1 044 080 zł,"43,1","24 224,59 zł"
SI1CT,A,Wydział Chemii,Uniwersytet Łódzki,47,5,11%,1 684 360 zł,"82,85","20 330,24 zł"
SI1CT,A,Wydział Chemiczny,Politechnika Śląska,48,7,15%,1 541 394 zł,95,"16 225,20 zł"
SI1CT,A,Wydział Chemii,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,31,4,13%,1 239 638 zł,"157,25","7 883,23 zł"
SI1CT,B,Instytut Papiernictwa i Poligrafii,Politechnika Łódzka,1,0,0%,0 zł,16,"0,00 zł"
SI1CT,A,"Interdyscyplinarne Centrum Modelowania Matematycznego i Komputerowego",Uniwersytet Warszawski,9,0,0%,0 zł,"16,2","0,00 zł"
SI1CT,B,Wydział Nauk Ścisłych,Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach,3,0,0%,0 zł,69,"0,00 zł"
SI1CT,A,Wydział Chemii,Uniwersytet Mikołaja Kopernika w Toruniu,41,12,29%,5 593 238 zł,BRAK DANYCH,BRAK DANYCH
SI1EA,A+,Wydział Elektroniki Mikrosystemów i Fotoniki,Politechnika Wrocławska,20,4,20%,2 352 836 zł,"61,29","38 388,58 zł"
SI1EA,A,"Wydział Elektroniki, Telekomunikacji i Informatyki",Politechnika Gdańska,23,8,35%,3 546 882 zł,"153,52","23 103,71 zł"
SI1EA,A,Instytut Optoelektroniki,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,5,3,60%,2 289 900 zł,114,"20 086,84 zł"
SI1EA,A,"Wydział Informatyki, Elektroniki i Telekomunikacji",Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,30,11,37%,3 878 826 zł,"193,45","20 050,79 zł"
SI1EA,A+,Wydział Elektroniki i Technik Informacyjnych,Politechnika Warszawska,48,5,10%,3 079 170 zł,"267,6","11 506,61 zł"
SI1EA,B,Wydział Informatyki,Politechnika Białostocka,8,1,13%,761 800 zł,70,"10 882,86 zł"
SI1EA,A,Wydział Elektroniki,Politechnika Wrocławska,36,2,6%,1 665 840 zł,"178,93","9 310,01 zł"
SI1EA,A,Wydział Elektryczny,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,5,2,40%,721 780 zł,79,"9 136,46 zł"
SI1EA,A,Wydział Elektryczny,Politechnika Wrocławska,12,2,17%,584 480 zł,77,"7 590,65 zł"
SI1EA,B,Wydział Informatyki i Zarządzania,Politechnika Wrocławska,18,4,22%,1 035 580 zł,"142,83","7 250,44 zł"
SI1EA,B,"Wydział Elektrotechniki, Automatyki i Informatyki",Politechnika Opolska,4,2,50%,593 720 zł,87,"6 824,37 zł"
SI1EA,A,Wydział Elektryczny,Politechnika Warszawska,8,1,13%,829 000 zł,"130,5","6 352,49 zł"
SI1EA,B,Wydział Elektrotechniki i Automatyki,Politechnika Gdańska,9,1,11%,499 480 zł,88,"5 675,91 zł"
SI1EA,A,"Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki",Politechnika Łódzka,15,2,13%,1 081 780 zł,"213,5","5 066,89 zł"
SI1EA,A,"Wydział Elektrotechniki, Automatyki, Informatyki i Inżynierii Biomedycznej",Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,20,2,10%,1 067 320 zł,"216,33","4 933,76 zł"
SI1EA,A,Wydział Elektroniki i Telekomunikacji,Politechnika Poznańska,16,1,6%,159 300 zł,52,"3 063,46 zł"
SI1EA,B,Wydział Elektryczny,Politechnika Poznańska,21,4,19%,364 744 zł,135,"2 701,81 zł"
SI1EA,A,"Wydział Automatyki, Elektroniki i Informatyki",Politechnika Śląska,26,2,8%,634 820 zł,"252,1","2 518,13 zł"
SI1EA,A,Wydział Elektrotechniki i Informatyki,Politechnika Lubelska,7,1,14%,53 440 zł,"94,3","566,70 zł"
SI1EA,B,Wydział Cybernetyki,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,2,0,0%,0 zł,134,"0,00 zł"
SI1EA,B,Wydział Elektroniki i Informatyki,Politechnika Koszalińska,1,0,0%,0 zł,"39,5","0,00 zł"
SI1EA,B,Wydział Elektrotechniki i Informatyki,Politechnika Rzeszowska im. Ignacego Łukasiewicza,5,0,0%,0 zł,114,"0,00 zł"
SI1EA,B,"Wydział Elektrotechniki, Automatyki i Informatyki",Politechnika Świętokrzyska,4,0,0%,0 zł,"65,13","0,00 zł"
SI1EA,B,Wydział Elektryczny,Akademia Morska w Gdyni,3,0,0%,0 zł,69,"0,00 zł"
SI1EA,B,Wydział Elektryczny,Politechnika Białostocka,7,0,0%,0 zł,67,"0,00 zł"
SI1EA,A,Wydział Elektryczny,Politechnika Częstochowska,5,0,0%,0 zł,"66,33","0,00 zł"
SI1EA,B,Wydział Elektryczny,Politechnika Śląska,8,0,0%,0 zł,"117,08","0,00 zł"
SI1EA,B,Wydział Informatyki,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,1,0,0%,0 zł,"61,85","0,00 zł"
SI1EA,C,Wydział Inżynierii Elektrycznej i Komputerowej,Politechnika Krakowska im. Tadeusza Kościuszki,1,0,0%,0 zł,58,"0,00 zł"
SI1EA,B,Wydział Inżynierii Produkcji i Logistyki,Politechnika Opolska,3,0,0%,0 zł,"91,32","0,00 zł"
SI1EA,B,"Wydział Telekomunikacji, Informatyki i Elektrotechniki","Uniwersytet Technologiczno-Przyrodniczy im. Jana i Jędrzeja Śniadeckich w Bydgoszczy",2,0,0%,0 zł,"50,5","0,00 zł"
SI1EA,B,"Wydział Elektrotechniki, Informatyki i Telekomunikacji",Uniwersytet Zielonogórski,11,4,36%,1 909 360 zł,BRAK DANYCH,BRAK DANYCH
SI1EA,B,Wydział Informatyki Stosowanej,Wyższa Szkoła Informatyki i Zarządzania w Rzeszowie,3,1,33%,621 200 zł,BRAK DANYCH,BRAK DANYCH
SI1FA,A,Wydział Podstawowych Problemów Techniki,Politechnika Wrocławska,58,27,47%,14 200 712 zł,"135,2","105 034,85 zł"
SI1FA,A+,Wydział Fizyki,Uniwersytet Warszawski,83,42,51%,22 995 425 zł,"252,5","91 070,99 zł"
SI1FA,A,"Wydział Matematyki, Fizyki i Informatyki",Uniwersytet Gdański,19,6,32%,5 381 471 zł,"105,5","51 009,20 zł"
SI1FA,A+,"Wydział Fizyki, Astronomii i Informatyki Stosowanej",Uniwersytet Jagielloński,66,22,33%,9 671 757 zł,"239,75","40 341,01 zł"
SI1FA,A,"Wydział Matematyki, Fizyki i Chemii",Uniwersytet Śląski w Katowicach,56,14,25%,7 025 848 zł,"228,5","30 747,69 zł"
SI1FA,A,Wydział Fizyki i Informatyki Stosowanej,Uniwersytet Łódzki,10,3,30%,1 624 191 zł,"55,25","29 397,12 zł"
SI1FA,A+,Wydział Fizyki i Informatyki Stosowanej,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,45,14,31%,3 921 566 zł,138,"28 417,14 zł"
SI1FA,A,Wydział Fizyki,Uniwersytet im. Adama Mickiewicza w Poznaniu,55,11,20%,4 639 673 zł,"168,1","27 600,67 zł"
SI1FA,A,Wydział Fizyki i Astronomii,Uniwersytet Wrocławski,26,4,15%,1 754 796 zł,95,"18 471,54 zł"
SI1FA,B,"Wydział Matematyki, Fizyki i Informatyki",Uniwersytet Marii Curie-Skłodowskiej w Lublinie,15,4,27%,1 976 280 zł,"138,5","14 269,17 zł"
SI1FA,A,Wydział Fizyki,Politechnika Warszawska,25,5,20%,1 156 844 zł,89,"12 998,25 zł"
SI1FA,B,Wydział Fizyki Technicznej i Matematyki Stosowanej,Politechnika Gdańska,17,5,29%,793 879 zł,69,"11 505,49 zł"
SI1FA,B,Wydział Matematyczno-Przyrodniczy,Akademia im. Jana Długosza w Częstochowie,21,3,14%,1 050 160 zł,"93,5","11 231,66 zł"
SI1FA,B,"Wydział Matematyki, Fizyki i Techniki,",Uniwersytet Kazimierza Wielkiego w Bydgoszczy,11,1,9%,430 800 zł,89,"4 840,45 zł"
SI1FA,B,Wydział Matematyczno-Przyrodniczy,Uniwersytet Jana Kochanowskiego w Kielcach,21,3,14%,740 800 zł,155,"4 779,35 zł"
SI1FA,A,Wydział Fizyki i Astronomii,Uniwersytet Zielonogórski,6,2,33%,130 787 zł,31,"4 218,94 zł"
SI1FA,B,Wydział Fizyki Technicznej,Politechnika Poznańska,10,1,10%,149 400 zł,"45,25","3 301,66 zł"
SI1FA,A,Instytut Fizyki - Centrum Naukowo-Dydaktyczne,Politechnika Śląska,8,0,0%,0 zł,35,"0,00 zł"
SI1FA,B,Środowiskowe Laboratorium Ciężkich Jonów,Uniwersytet Warszawski,2,0,0%,0 zł,"31,5","0,00 zł"
SI1FA,C,"Wydział Fizyki, Matematyki i Informatyki",Politechnika Krakowska im. Tadeusza Kościuszki,6,0,0%,0 zł,97,"0,00 zł"
SI1FA,B,Wydział Matematyczno-Fizyczny,Uniwersytet Szczeciński,7,0,0%,0 zł,"42,5","0,00 zł"
SI1FA,B,Wydział Matematyczno-Przyrodniczy,Uniwersytet Rzeszowski,5,0,0%,0 zł,"126,5","0,00 zł"
SI1FA,B,"Wydział Matematyki, Fizyki i Informatyki,",Uniwersytet Opolski,1,0,0%,0 zł,50,"0,00 zł"
SI1FA,A,"Wydział Fizyki, Astronomii i Informatyki Stosowanej",Uniwersytet Mikołaja Kopernika w Toruniu,35,9,26%,4 308 518 zł,BRAK DANYCH,BRAK DANYCH
SI1FA,B,Wydział Matematyczno-Przyrodniczy,Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie,7,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
SI1GE,A,Wydział Inżynierii Środowiska i Energetyki,Politechnika Śląska,41,5,12%,2 742 346 zł,186,"14 743,80 zł"
SI1GE,B,Wydział Inżynierii Kształtowania Środowiska i Geodezji,Uniwersytet Przyrodniczy we Wrocławiu,6,3,50%,973 040 zł,170,"5 723,76 zł"
SI1GE,B,Wydział Inżynierii Lądowej i Geodezji,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,4,1,25%,366 160 zł,64,"5 721,25 zł"
SI1GE,B,Wydział Geodezji Górniczej i Inżynierii Środowiska,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,5,1,20%,393 675 zł,118,"3 336,23 zł"
SI1GE,B,"Wydział Geodezji, Inżynierii Przestrzennej i Budownictwa",Uniwersytet Warmińsko-Mazurski w Olsztynie,13,1,8%,340 920 zł,126,"2 705,71 zł"
SI1GE,B,Wydział Transportu,Politechnika Warszawska,8,1,13%,107 380 zł,"85,5","1 255,91 zł"
SI1GE,A,Wydział Energetyki i Paliw,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,25,1,4%,49 600 zł,114,"435,09 zł"
SI1GE,B,Wydział Geodezji i Kartografii,Politechnika Warszawska,2,0,0%,0 zł,72,"0,00 zł"
SI1GE,A,"Wydział Geoinżynierii, Górnictwa i Geologii",Politechnika Wrocławska,2,0,0%,0 zł,62,"0,00 zł"
SI1GE,B,Wydział Górnictwa i Geoinżynierii,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,6,0,0%,0 zł,160,"0,00 zł"
SI1GE,B,Wydział Górnictwa i Geologii,Politechnika Śląska,5,0,0%,0 zł,"134,5","0,00 zł"
SI1GE,B,Wydział Inżynieryjno-Ekonomiczny Transportu,Akademia Morska w Szczecinie,1,0,0%,0 zł,48,"0,00 zł"
SI1GE,A,Wydział Maszyn Roboczych i Transportu,Politechnika Poznańska,5,0,0%,0 zł,123,"0,00 zł"
SI1GE,A,Wydział Mechaniczny Energetyki i Lotnictwa,Politechnika Warszawska,24,0,0%,0 zł,"135,25","0,00 zł"
SI1GE,B,Wydział Nawigacji i Uzbrojenia Okrętowego,Akademia Marynarki Wojennej im. Bohaterów Westerplatte,1,0,0%,0 zł,33,"0,00 zł"
SI1GE,B,Wydział Nawigacyjny,Akademia Morska w Gdyni,1,0,0%,0 zł,49,"0,00 zł"
SI1GE,B,Wydział Nawigacyjny,Akademia Morska w Szczecinie,2,0,0%,0 zł,"71,5","0,00 zł"
SI1GE,A,"Wydział Wiertnictwa, Nafty i Gazu",Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,5,0,0%,0 zł,57,"0,00 zł"
SI1IM,A+,Wydział Inżynierii Materiałowej,Politechnika Warszawska,31,9,29%,3 430 132 zł,57,"60 177,75 zł"
SI1IM,A,Wydział Inżynierii Materiałowej i Ceramiki,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,63,8,13%,4 614 382 zł,87,"53 038,87 zł"
SI1IM,A,Wydział Nowych Technologii i Chemii,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego,24,4,17%,3 022 760 zł,"91,1","33 180,68 zł"
SI1IM,A,Wydział Technologii i Inżynierii Chemicznej,Zachodniopomorski Uniwersytet Technologiczny w Szczecinie,19,3,16%,2 304 700 zł,"111,25","20 716,40 zł"
SI1IM,B,Wydział Inżynierii Procesowej i Ochrony Środowiska,Politechnika Łódzka,15,2,13%,1 115 814 zł,66,"16 906,27 zł"
SI1IM,B,Wydział Inżynierii Metali i Informatyki Przemysłowej,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,30,7,23%,2 815 925 zł,169,"16 662,28 zł"
SI1IM,B,Wydział Chemiczny,Politechnika Rzeszowska im. Ignacego Łukasiewicza,10,1,10%,946 760 zł,93,"10 180,22 zł"
SI1IM,A,Wydział Metali Nieżelaznych,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,10,1,10%,605 100 zł,70,"8 644,29 zł"
SI1IM,B,Wydział Odlewnictwa,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,13,1,8%,499 250 zł,72,"6 934,03 zł"
SI1IM,B,Wydział Inżynierii i Technologii Chemicznej,Politechnika Krakowska im. Tadeusza Kościuszki,21,1,5%,339 200 zł,"110,5","3 069,68 zł"
SI1IM,B,Wydział Inżynierii Środowiska,Politechnika Lubelska,2,1,50%,89 300 zł,38,"2 350,00 zł"
SI1IM,B,Wydział Inżynierii Materiałowej i Metalurgii,Politechnika Śląska,13,1,8%,150 000 zł,108,"1 388,89 zł"
SI1IM,B,Wydział Inżynierii Produkcji i Technologii Materiałów,Politechnika Częstochowska,14,1,7%,97 980 zł,"106,5","920,00 zł"
SI1IM,B,Wydział Informatyki i Nauki o Materiałach,Uniwersytet Śląski w Katowicach,12,0,0%,0 zł,98,"0,00 zł"
SI1IM,B,Wydział Inżynierii Środowiska i Biotechnologii,Politechnika Częstochowska,13,0,0%,0 zł,70,"0,00 zł"
