"GWO","kategoria","wydzial","jednostka.gl","zlozone","pozyskane","procent.sukcesu","kwota.calk","liczba.pracownikow","kwota.na.pracownika","dziedzina","szer.geog","dl.geog","adres","miasto"
"HS1EK","B","Wydział Nauk Ekonomicznych","Szkoła Główna Gospodarstwa Wiejskiego w Warszawie",6,1,0.166666666666667,171890,121,1420.57851239669,"HS",52.1644881,21.0487748,"Nowoursynowska 166, 02-787 Warszawa, Poland"," Warszawa"
"HS1EK","A","Wydział Nauk Ekonomicznych","Uniwersytet Ekonomiczny we Wrocławiu",30,2,0.0666666666666667,224365,169,1327.60355029586,"HS",51.0900717,17.0263517,"Komandorska 118/120, Wroclaw, Poland"," Wroclaw"
"HS1EK","B","Wydział Nauk Ekonomicznych","Uniwersytet Warmińsko-Mazurski w Olsztynie",6,1,0.166666666666667,123890,111,1116.12612612613,"HS",53.7601848,20.4608081,"Michala Oczapowskiego 2, Olsztyn, Poland"," Olsztyn"
"HS1EK","B","Wydział Finansów i Ubezpieczeń","Uniwersytet Ekonomiczny w Katowicach",9,1,0.111111111111111,79947,94,850.5,"HS",50.2584208,19.0447436,"1 Maja 50, 40-287 Katowice, Poland"," Katowice"
"HS1EK","B","Wydział Zarządzania","Politechnika Warszawska",10,1,0.1,47900,56.5,847.787610619469,"HS",52.2033388,21.0027602,"Narbutta 85, 00-999 Warszawa, Poland"," Warszawa"
"HS1EK","A","Wydział Nauk Ekonomicznych i Zarządzania","Uniwersytet Szczeciński",14,1,0.0714285714285714,80000,168.5,474.777448071217,"HS",53.438553,14.520253,"Mickiewicza 64, 71-101 Szczecin, Poland"," Szczecin"
"HS1EK","B","Wydział Ekonomiczny","Wyższa Szkoła Informatyki i Zarządzania w Rzeszowie",3,0,0,0,31,0,"HS",50.0489064,21.9817016,"mjr. Henryka Sucharskiego 2, Rzesz�w, Poland"," Rzesz�w"
"HS1EK","A","Wydział Finansów","Uniwersytet Ekonomiczny w Krakowie",9,0,0,0,129,0,"HS",50.0685649,19.9551201,"Rakowicka 27, 31-510 Krak�w, Poland"," Krak�w"
"HS1EK","B","Wydział Ekonomii i Zarządzania","Uniwersytet w Białymstoku",3,0,0,0,77,0,"HS",53.1301646,23.1754196,"Warszawska 63, 15-062 Bialystok, Poland"," Bialystok"
"HS1EK","B","Wydział Zarządzania","Politechnika Białostocka",11,0,0,0,116,0,"HS",53.0983544,23.1254569,"Ojca Tarasiuka 2, 16-001 Kleosin, Poland"," Kleosin"
"HS1EK","A","Wydział Zarządzania","Uniwersytet Warszawski",8,0,0,0,46,0,"HS",52.1706278,21.0120105,"Szturmowa 1/3, 02-678 Warszawa, Poland"," Warszawa"
"HS1EK","B","Wydział Finansów i Zarządzania","Wyższa Szkoła Bankowa we Wrocławiu",9,0,0,0,135,0,"HS",51.1129601,16.9816608,"Fabryczna 29/31, 53-609 Wroclaw, Poland"," Wroclaw"
"HS1EK","B","Wydział Ekonomii i Zarządzania","Uniwersytet Zielonogórski",13,0,0,0,68,0,"HS",51.936343,15.5071594,"Licealna 9, Zielona G�ra, Poland"," Zielona G�ra"
"HS1EK","A","Wydział Zarządzania i Finansów","Wyższa Szkoła Finansów i Zarządzania w Warszawie",13,0,0,0,38,0,"HS",52.2440137,20.9826743,"Pawia 55, Warszawa, Poland"," Warszawa"
"HS1EK","B","Wydział Inżynierii Zarządzania","Politechnika Poznańska",7,0,0,0,106,0,"HS",52.4047844,16.9330645,"Strzelecka 11, Poznan, Poland"," Poznan"
"HS1EK","B","Wydział Ekonomii","Uniwersytet Rzeszowski",5,0,0,0,45,0,"HS",50.001126,22.0302808,"35-601 Rzeszow, Poland"," Rzeszow"
"HS1EK","B","Wydział Przedsiębiorczości i Towaroznawstwa","Akademia Morska w Gdyni",9,0,0,0,101,0,"HS",54.52882,18.505659,"Morska 87, Gdynia, Poland"," Gdynia"
"HS1EK","B","Wydział Ekonomiczny","Uniwersytet Technologiczno-Humanistyczny im. 
Kazimierza Pułaskiego w Radomiu",7,0,0,0,49,0,"HS",51.4185093,21.1620417,"Boleslawa Chrobrego 31, 26-600 Radom, Poland"," Radom"
"HS1EK","B","Wydział Ekonomiczny","Uniwersytet Opolski",6,0,0,0,47,0,"HS",50.6676153,17.9333273,"Ozimska 46, 45-058 Opole, Poland"," Opole"
"HS1EK","B","Wydział Zarządzania","Politechnika Rzeszowska im. Ignacego Łukasiewicza",5,0,0,0,126,0,"HS",50.0193113,21.9872448,"Budynek S, Aleja Powstanc�w Warszawy 10, 35-959 Rzesz�w, Poland"," Rzesz�w"
"HS1EK","B","Wydział Finansów i Bankowości","Wyższa Szkoła Bankowa w Poznaniu",6,0,0,0,85,0,"HS",52.404506,16.9234459,"Powstanc�w Wielkopolskich 2A, 61-874 Poznan, Poland"," Poznan"
"HS1EK","B","Wydział Ekonomii i Zarządzania","Politechnika Opolska",3,0,0,0,55.5,0,"HS",50.674037,17.922795,"Luboszycka 7, 45-036 Opole, Poland"," Opole"
"HS1EK","B","","Wyższa Szkoła Bankowa w Toruniu",4,0,0,0,64,0,"HS",53.0202061,18.6062777,"Mlodziezowa 31a, Torun, Poland"," Torun"
"HS1EK","B","Wydział Zarządzania i Logistyki","Wyższa Szkoła Logistyki w Poznaniu",1,0,0,0,24,0,"HS",52.4102265,16.9400702,"Estkowskiego 6, 61-755 Poznan, Poland"," Poznan"
"HS1EK","B","Wydział Zarządzania","Politechnika Lubelska",2,0,0,0,60,0,"HS",51.2352506,22.5487299,"Zakole, Lublin, Poland"," Lublin"
"HS1EK","B","Wydział Zarządzania","Uniwersytet Technologiczno-Przyrodniczy im. Jana i 
Jędrzeja Śniadeckich w Bydgoszczy",5,0,0,0,39,0,"HS",53.1238534,17.9890905,"Ksiedza Augustyna Kordeckiego 20, Bydgoszcz, Poland"," Bydgoszcz"
"HS1EK","B","Wydział Ekonomiczny","Zachodniopomorski Uniwersytet Technologiczny w 
Szczecinie",3,0,0,0,58.5,0,"HS",53.4240902,14.5340802,"Aleja Piast�w 17, Szczecin, Poland"," Szczecin"
