"GWO","kategoria","wydzial","jednostka.gl","zlozone","pozyskane","procent.sukcesu","kwota.calk","liczba.pracownikow","kwota.na.pracownika","dziedzina"
"HS1FB","B","Wydział Humanistyczno-Społeczny","Akademia Techniczno-Humanistyczna w Bielsku-Białej",4,0,0,0,57.5,0,"HS"
"HS1FB","B","Wydział Kulturoznawstwa i Filologii","Uniwersytet SWPS",10,3,0.3,1351638,NA,NA,"HS"
"HS2FB","A+","","Instytut Badań Literackich PAN",24,9,0.375,2705106,101.5,26651.2906403941,"HS"
"HS2FB","A","","Instytut Slawistyki PAN",6,3,0.5,778818,64.16,12138.6845386534,"HS"
"HS2FB","A","","Instytut Języka Polskiego PAN",18,0,0,0,76,0,"HS"
"HS1HS","A+","Wydział Historyczny","Uniwersytet Warszawski",89,35,0.393258426966292,9003699,267,33721.7191011236,"HS"
"HS1HS","B","Centrum Archeologii Śródziemnomorskiej im. prof. 
Kazimierza Michałowskiego","Uniwersytet Warszawski",6,1,0.166666666666667,417700,14,29835.7142857143,"HS"
"HS1HS","A+","Wydział Historyczny","Uniwersytet im. Adama Mickiewicza w Poznaniu",41,14,0.341463414634146,3255505,211.95,15359.7782495872,"HS"
"HS1HS","A","Wydział Historyczny","Uniwersytet Jagielloński",50,14,0.28,2462345,173,14233.2080924855,"HS"
"HS1HS","A+","Wydział Nauk Historycznych i Pedagogicznych","Uniwersytet Wrocławski",37,9,0.243243243243243,2065338,248,8327.97580645161,"HS"
"HS1HS","B","Wydział Humanistyczny","Uniwersytet Pedagogiczny im. Komisji Edukacji 
Narodowej w Krakowie",29,6,0.206896551724138,837040,123,6805.20325203252,"HS"
"HS1HS","B","Wydział Socjologiczno-Historyczny","Uniwersytet Rzeszowski",13,4,0.307692307692308,740880,123,6023.41463414634,"HS"
"HS1HS","A","Wydział Nauk Historycznych","Uniwersytet Mikołaja Kopernika w Toruniu",28,4,0.142857142857143,601169,125,4809.352,"HS"
"HS1HS","B","Wydział Humanistyczny","Uniwersytet Zielonogórski",21,4,0.19047619047619,585910,149,3932.28187919463,"HS"
"HS1HS","A","Wydział Historyczno-Socjologiczny","Uniwersytet w Białymstoku",15,1,0.0666666666666667,285000,82.5,3454.54545454545,"HS"
"HS1HS","B","Wydział Filozoficzno-Historyczny","Uniwersytet Łódzki",19,3,0.157894736842105,351640,130.5,2694.55938697318,"HS"
"HS1HS","B","Wydział Humanistyczny","Uniwersytet Kazimierza Wielkiego",3,2,0.666666666666667,252850,154,1641.88311688312,"HS"
"HS1HS","B","Wydział Humanistyczny","Uniwersytet Szczeciński",18,3,0.166666666666667,238430,199.5,1195.13784461153,"HS"
"HS1HS","B","Wydział Filologiczno-Historyczny","Akademia im. Jana Długosza w Częstochowie",11,1,0.0909090909090909,47800,106,450.943396226415,"HS"
"HS1HS","B","Wydział Humanistyczny","Uniwersytet Jana Kochanowskiego w Kielcach",7,1,0.142857142857143,53937,124,434.975806451613,"HS"
